sample,controller,window,steps,duration_s,full_horizon,dropped,final_position_error_mm,final_rotation_error_deg,final_position_success,final_rotation_success,final_joint_success
000,Astra Direct,executed,153,7.6500,False,False,51.2229,38.7715,False,False,False
001,Astra Direct,executed,129,6.4500,False,False,38.1172,28.5624,False,False,False
002,Astra Direct,executed,134,6.7000,False,False,49.6769,35.1619,False,False,False
003,Astra Direct,executed,120,6.0000,False,False,50.6035,27.4115,False,False,False
004,Astra Direct,executed,132,6.6000,False,False,47.1456,33.6712,False,False,False
000,RL,matched,153,7.6500,False,False,18.8356,3.2167,True,True,True
001,RL,matched,129,6.4500,False,False,15.5339,3.5729,True,True,True
002,RL,matched,134,6.7000,False,False,21.0660,21.7036,True,False,False
003,RL,matched,120,6.0000,False,False,10.4220,9.5556,True,True,True
004,RL,matched,132,6.6000,False,False,15.2218,3.5255,True,True,True
