task,category,threshold,mean,spread,threshold_met,dreamerv3_h1hand,tdmpc2_h1hand,sac_h1hand
Stand,loc,800.0,954.2,0.1,True,622.7 ± 404.8,809.0 ± 137.1,208.3 ± 105.6
Walk,loc,700.0,848.7,5.9,True,800.2 ± 158.7,782.0 ± 109.2,31.7 ± 24.0
Run,loc,700.0,642.1,2.8,False,633.8 ± 222.4,93.3 ± 14.3,5.0 ± 2.1
Maze,loc,1200.0,1358.8,7.4,True,272.3 ± 116.6,244.3 ± 97.7,144.8 ± 17.8
Hurdle,loc,700.0,183.0,0.3,False,126.2 ± 59.4,46.4 ± 10.8,13.2 ± 8.8
Crawl,loc,700.0,971.9,0.2,True,878.8 ± 122.7,957.4 ± 17.5,330.0 ± 111.9
Reach,loc,12000.0,11430.2,2089.0,False,7580.9 ± 1951.0,7316.1 ± 2112.1,4565.1 ± 212.8
Sit simple,loc,750.0,793.0,19.1,True,891.4 ± 38.4,411.1 ± 368.0,148.3 ± 103.8
Sit hard,loc,750.0,277.5,283.5,False,433.4 ± 355.9,343.0 ± 381.7,55.0 ± 18.2
Balance simple,loc,800.0,53.1,6.7,False,19.8 ± 7.0,40.5 ± 23.9,61.5 ± 1.1
Balance hard,loc,800.0,48.3,1.8,False,45.9 ± 27.4,48.2 ± 28.5,42.5 ± 22.6
Stair,loc,700.0,272.5,44.0,False,131.1 ± 43.6,70.4 ± 7.1,14.1 ± 6.8
Slide,loc,700.0,141.1,45.9,False,436.5 ± 200.1,119.0 ± 35.9,6.3 ± 2.8
Pole,loc,700.0,628.7,10.5,False,658.3 ± 343.3,226.3 ± 116.1,46.3 ± 26.4
Kitchen,man,4.0,0.0,0.0,False,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
Cube,man,370.0,6.3,0.3,False,111.2 ± 59.9,54.7 ± 33.1,130.7 ± 30.5
Bookshelf simple,man,2000.0,666.3,7.6,False,840.4 ± 5.6,136.2 ± 71.6,346.9 ± 231.5
Bookshelf hard,man,2000.0,572.8,201.0,False,530.2 ± 302.5,37.0 ± 1.3,293.9 ± 121.6
Window,man,650.0,6.1,0.7,False,461.0 ± 252.8,87.1 ± 37.5,62.9 ± 83.8
Spoon,man,650.0,319.1,8.6,False,349.7 ± 46.2,77.9 ± 80.6,87.7 ± 80.5
Door,man,600.0,142.4,7.8,False,213.0 ± 149.3,274.7 ± 12.5,39.4 ± 25.2
Push,man,700.0,877.3,59.6,True,−1251.9 ± 659.8,−258.7 ± 66.5,−97.9 ± 147.0
Basketball,man,1200.0,24.0,2.9,False,19.3 ± 2.5,42.0 ± 14.8,22.1 ± 3.2
Truck,man,3000.0,787.3,87.1,False,1103.8 ± 232.9,1132.6 ± 72.1,1077.5 ± 95.0
Package,man,1500.0,-5148.0,1288.1,False,−18015.2 ± 9477.7,−3655.6 ± 1055.0,−6718.3 ± 607.0
Cabinet,man,2500.0,274.1,110.0,False,57.3 ± 66.3,112.8 ± 142.9,211.8 ± 33.8
Room,man,400.0,143.9,27.6,False,120.5 ± 71.4,131.4 ± 56.7,12.0 ± 4.9
Insert normal,man,350.0,50.6,1.5,False,171.5 ± 33.2,237.6 ± 9.1,46.3 ± 63.1
Insert small,man,350.0,46.7,8.8,False,184.8 ± 26.3,129.8 ± 51.9,10.8 ± 13.4
Powerlift,man,800.0,84.6,53.7,False,315.9 ± 16.9,99.1 ± 47.3,81.8 ± 46.7
