task,attempt,status,reason,survival_time_s,action_calls,action_tokens,reflection_calls,reflection_tokens,attempt_total_tokens,cumulative_tokens_at_start,cumulative_tokens_after_action,path_length_m,final_displacement_m,final_x_m,final_y_m,final_yaw_deg,maximum_x_m,maximum_abs_y_m,minimum_yaw_deg,maximum_yaw_deg,minimum_height_m,maximum_tilt_deg,maximum_stance_slip_m,valid_steps,alternating_steps,video,physics,report
stand,1,success,completed_task,30.0,601,16719070,0,0,16719070,0,16719070,0.18779752261233476,,,,,0.06203858554363251,0.038759008049964905,-0.18006681004919767,1.1431660945551372,0.745141327381134,8.592319230687126,,,,b01-stand-r01/simulation/20260917T150442-stand_attempt_001-980219/video.mp4,b01-stand-r01/simulation/20260917T150442-stand_attempt_001-980219/physics.jsonl,b01-stand-r01/simulation/20260917T150442-stand_attempt_001-980219/report.json
walk,1,task_failed,cross_track,6.0,120,3333615,1,16751,3350366,0,3333615,0.2421182381483777,0.15335606492515177,0.017604373395442963,0.1523422747850418,-11.898238360236531,0.058624375611543655,0.1523422747850418,-11.898238360236533,1.8834018127675165,0.7094281911849976,10.937319981571145,0.014630194191423952,0,0,b01-walk-r01/simulation/20260917T150433-walk_attempt_001-578878/video.mp4,b01-walk-r01/simulation/20260917T150433-walk_attempt_001-578878/physics.jsonl,b01-walk-r01/simulation/20260917T150433-walk_attempt_001-578878/report.json
walk,2,task_failed,stance_slip,1.1500000000000001,23,666893,1,6007,672900,3350366,4017259,0.3578260221191517,0.3415056312952649,0.3287784159183502,-0.09236259758472443,11.917307353906445,0.3287784159183502,0.09236259758472443,-12.404675732233988,11.917307353906445,0.6837952136993408,11.533285103320354,0.03920920065085639,0,0,b01-walk-r01/simulation/20260917T153523-walk_attempt_002-882689/video.mp4,b01-walk-r01/simulation/20260917T153523-walk_attempt_002-882689/physics.jsonl,b01-walk-r01/simulation/20260917T153523-walk_attempt_002-882689/report.json
walk,3,task_failed,stance_slip,6.7,134,4160320,1,21414,4181734,4023266,8183586,0.552327578378196,0.35725393285665935,0.3542611300945282,0.04614568501710892,10.12106900766427,0.3542611300945282,0.09524446725845337,-10.022486115181044,10.341379105318428,0.7161059975624084,14.616983599403255,0.03041179393599981,2,2,b01-walk-r01/simulation/20260917T154017-walk_attempt_003-592172/video.mp4,b01-walk-r01/simulation/20260917T154017-walk_attempt_003-592172/physics.jsonl,b01-walk-r01/simulation/20260917T154017-walk_attempt_003-592172/report.json
walk,4,task_failed,"tilt,stance_slip",6.45,129,4237458,1,22394,4259852,8205000,12442458,0.29376073856156926,0.18973972999632982,0.18270660936832428,-0.05118066072463989,7.765757670053233,0.18270660936832428,0.0910736471414566,-0.8839664745735989,12.23823207529974,0.7090054154396057,16.116527807928,0.038882990824784074,0,0,b01-walk-r01/simulation/20260917T160727-walk_attempt_004-331094/video.mp4,b01-walk-r01/simulation/20260917T160727-walk_attempt_004-331094/physics.jsonl,b01-walk-r01/simulation/20260917T160727-walk_attempt_004-331094/report.json
walk,5,task_failed,stance_slip,6.4,128,4430478,1,24297,4454775,12464852,16895330,0.3046497326874464,0.13761035709989047,-0.017739200964570045,-0.13646219670772552,11.638561239678682,0.10592709481716156,0.13646219670772552,-0.0022337054553810357,11.638561239678682,0.7094630002975464,10.829358405669694,0.03293800023779925,0,0,b01-walk-r01/simulation/20260917T165425-walk_attempt_005-731172/video.mp4,b01-walk-r01/simulation/20260917T165425-walk_attempt_005-731172/physics.jsonl,b01-walk-r01/simulation/20260917T165425-walk_attempt_005-731172/report.json
walk,6,task_failed,tilt,4.0,81,2972889,1,20743,2993632,16919627,19892516,0.41013537622727725,0.3894714915783847,0.38361743092536926,-0.06727339327335358,8.477623092458868,0.38361743092536926,0.06727339327335358,-0.0028976752264753265,8.477623092458868,0.7047408819198608,15.387856238650524,0.026130023613242147,0,0,b01-walk-r01/simulation/20260917T173129-walk_attempt_006-100471/video.mp4,b01-walk-r01/simulation/20260917T173129-walk_attempt_006-100471/physics.jsonl,b01-walk-r01/simulation/20260917T173129-walk_attempt_006-100471/report.json
walk,7,task_failed,cross_track,6.95,139,5328454,1,29419,5357873,19913259,25241713,0.2850981690274451,0.18545285530950215,-0.10218938440084457,0.15475817024707794,-14.256295426495587,0.03532487154006958,0.15475817024707794,-14.256295426495587,0.19447776537661224,0.6777434945106506,11.11297349054518,0.012281851267302722,0,0,b01-walk-r01/simulation/20260917T175225-walk_attempt_007-392054/video.mp4,b01-walk-r01/simulation/20260917T175225-walk_attempt_007-392054/physics.jsonl,b01-walk-r01/simulation/20260917T175225-walk_attempt_007-392054/report.json
walk,8,task_failed,cross_track,7.6000000000000005,152,6157460,1,33276,6190736,25271132,31428592,0.30895117093566576,0.16898131977262218,-0.06292738765478134,0.1568273901939392,-9.277758800167133,0.06992979347705841,0.1568273901939392,-12.185288338896843,0.4056693869853139,0.7195143699645996,11.719218669397033,0.02897258384615216,0,0,b01-walk-r01/simulation/20260917T184415-walk_attempt_008-464056/video.mp4,b01-walk-r01/simulation/20260917T184415-walk_attempt_008-464056/physics.jsonl,b01-walk-r01/simulation/20260917T184415-walk_attempt_008-464056/report.json
walk,9,administratively_censored,user_stop_below_40m_ceiling,7.15,143,6110956,0,0,6110956,31461868,37572824,0.2493199735456818,0.07122078858931444,-0.03270898759365082,0.06326549500226974,-2.060901050241289,0.09615536779165268,0.06326549500226974,-2.060901050241289,0.055977211945516865,0.7306296229362488,10.362441962828871,0.0031986011788401364,0,0,b01-walk-r01/simulation/20260917T193107-walk_attempt_009-723727/video.mp4,b01-walk-r01/simulation/20260917T193107-walk_attempt_009-723727/physics.jsonl,b01-walk-r01/simulation/20260917T193107-walk_attempt_009-723727/report.json
