run_id,label,motion,status,attempt_complete,survival_s,survival_is_censored,effective_steps,family,protocol,skill_bundle_sha256,skill_saved_tokens_observed,skill_first_known_tokens,result_tokens_observed,result_observed_at_utc,result_token_semantics,excluded_post_termination_steps,native_terms,assistance,comparison_freeze_tokens,error_body_pos_g_first0_8s_mean,error_joint_pos_first0_8s_mean,error_body_lin_vel_first0_8s_mean,error_body_ang_vel_first0_8s_mean,error_ankle_pos_g_first0_8s_mean,error_body_pos_g_through_termination_mean
20260916-183816-620780_astra_session_v13-walk2-flat-support-10s,V13,walk2_subject3,failed,True,2.62,False,131,legacy / unspecified,legacy_short_packets,,53295648,53295648,61456721,2026-09-16T11:11:18.984493+00:00,first metrics observation at this step; not exact inference completion cost,369,body_pos,inverse_statics_diagnostic;model_selected_fixed_post_failure_hold;simulation_lookahead;simulation_state_diagnostic,,0.046149191225413236,0.1833727302029729,0.12423558374866843,0.5374092783778905,0.042415641737170516,0.15041385459152
20260916-191553-221554_astra_session_v14-unseen-walk1-subject2-10s,V14,walk1_subject2,failed,True,3.46,False,173,legacy / unspecified,legacy_short_packets,,62623425,62021792,75774594,2026-09-16T12:23:11.245707+00:00,first metrics observation at this step; not exact inference completion cost,327,body_pos,inverse_statics_diagnostic;model_selected_fixed_post_failure_hold;simulation_lookahead;simulation_state_diagnostic,,0.03603553047287278,0.15554739218205213,0.11473134588450193,0.4955614201724529,0.03277194972615689,0.1210646802933639
20260916-202802-316008_astra_session_v15-walk2-support-contact-10s,V15,walk2_subject3,failed,True,3.92,False,196,legacy / unspecified,legacy_short_packets,,76950151,76950151,87878534,2026-09-16T13:18:48.878868+00:00,first metrics observation at this step; not exact inference completion cost,304,body_pos,inverse_statics_diagnostic;model_selected_fixed_post_failure_hold;simulation_lookahead;simulation_state_diagnostic,,0.04480272525688633,0.22488449849188327,0.12605306776240469,0.3780213758349419,0.03490082500502467,0.07639493514565104
20260916-212224-473671_astra_session_v16-unseen-walk2-subject4-10s,V16,walk2_subject4,failed,True,5.88,False,294,legacy / unspecified,legacy_short_packets,,88679675,88208927,105548977,2026-09-16T14:32:34.050771+00:00,first metrics observation at this step; not exact inference completion cost,206,body_pos,inverse_statics_diagnostic;model_selected_fixed_post_failure_hold;simulation_lookahead;simulation_state_diagnostic,,0.038873284531291574,0.201039220392704,0.10149713726714253,0.5255743665620685,0.03908023602562025,0.06589896158872768
20260916-223534-017932_astra_session_v17-walk2-subject4-earlier-support-10s,V17,walk2_subject4,failed,True,5.54,False,277,legacy / unspecified,legacy_short_packets,,106169949,105839812,125872353,2026-09-16T16:53:35.213685+00:00,first metrics observation at this step; not exact inference completion cost,223,body_pos,inverse_statics_diagnostic;model_selected_fixed_post_failure_hold;simulation_lookahead;simulation_state_diagnostic,,0.044694544817321005,0.19012294225394727,0.12115293042734265,0.5335234507918358,0.037280154105974364,0.06720765866675424
20260917-005750-859736_astra_session_v18-walk2-contact-heading-10s,V18,walk2_subject3,failed,True,1.42,False,71,legacy / unspecified,legacy_short_packets,,127761892,127597483,137415518,2026-09-16T17:39:51.917400+00:00,first metrics observation at this step; not exact inference completion cost,429,body_pos,inverse_statics_diagnostic;model_selected_fixed_post_failure_hold;simulation_lookahead;simulation_state_diagnostic,,0.05624619480222463,0.261625062674284,0.19921834208071232,0.7966139286756515,0.03424646016210318,0.105828716826271
20260917-014341-466899_astra_session_v19-walk2-feasible-support-10s,V19,walk2_subject3,failed,True,4.28,False,214,legacy / unspecified,legacy_short_packets,,138188566,137880253,152062622,2026-09-16T18:31:10.981331+00:00,first metrics observation at this step; not exact inference completion cost,286,body_pos,contact_support_feasibility_diagnostic;inverse_statics_diagnostic;model_selected_fixed_post_failure_hold;simulation_lookahead;simulation_state_diagnostic,,0.04900365635985508,0.1572994938120246,0.14869569130241872,0.5617668401449919,0.036825374473119156,0.1358171995559481
20260917-023606-928452_astra_session_v20-walk2-initial-stance-10s,V20,walk2_subject3,failed,True,2.2,False,110,legacy / unspecified,legacy_short_packets,,154074228,153688371,161533425,2026-09-16T18:59:41.587224+00:00,first metrics observation at this step; not exact inference completion cost,390,body_pos,contact_support_feasibility_diagnostic;inverse_statics_diagnostic;model_selected_fixed_post_failure_hold;model_selected_protective_pose_after_native_failure;simulation_lookahead;simulation_state_diagnostic,,0.05002154057146981,0.26113084629178046,0.14141099443659186,0.543658722564578,0.03870216237846762,0.10105686730027875
20260917-030956-016901_astra_session_v21-walk2-reward-feedback-10s,V21,walk2_subject3,failed,True,0.86,False,43,legacy / unspecified,legacy_short_packets,,165373580,165373580,168978884,2026-09-16T19:21:28.817813+00:00,first metrics observation at this step; not exact inference completion cost,457,body_pos,inverse_statics_diagnostic;model_selected_fixed_post_failure_hold;model_selected_protective_pose_after_native_failure;simulation_lookahead;simulation_state_diagnostic;training_reward_feedback,,0.10200001234770753,0.6104323809966445,0.4326474998146296,1.1568037055432796,0.05269837657688185,0.11474933536441694
20260917-032409-444909_astra_session_v22-walk2-touchdown-aware-10s,V22,walk2_subject3,failed,True,3.98,False,199,legacy / unspecified,legacy_short_packets,,169513186,169513186,181290882,2026-09-16T20:37:49.132696+00:00,first metrics observation at this step; not exact inference completion cost,301,body_pos,model_selected_fixed_post_failure_hold;model_selected_protective_pose_after_native_failure;simulation_lookahead;simulation_state_diagnostic;training_reward_feedback,,0.04353996176505461,0.14033402614295482,0.10910462900064885,0.3719397960230708,0.03940782533027232,0.0767308052502872
