model,dataset,episode_id,success,spl_full_suite,ndtw,sdtw,steps,path_length,termination
astra,r2r,1639,1,1.0,0.9316564377468739,0.9316564377468739,97,13.755959123373032,stop
astra,rxr,1936,1,1.0,0.9410193749698637,0.9410193749698637,25,2.9339453894644976,stop
astra,r2r,1746,0,0.0,0.5234448318778038,0.0,31,3.0000015646219254,stop
astra,rxr,10574,1,0.9903843945442279,0.946525014905073,0.946525014905073,32,2.2500250935554504,stop
astra,r2r,1482,1,1.0,0.9474522535568387,0.9474522535568387,53,7.518002908676863,stop
astra,rxr,9489,1,1.0,0.9150077332205557,0.9150077332205557,32,2.267277777194977,stop
astra,r2r,289,1,1.0,0.9137492882707867,0.9137492882707867,57,5.8127800691872835,stop
astra,rxr,2437,1,0.7991415573695546,0.9091922861473193,0.9091922861473193,100,14.205461665987968,stop
astra,r2r,1583,0,0.0,0.7700628493781638,0.0,50,4.814682736992836,stop
astra,rxr,1158,1,0.6105104386773225,0.8352500454734189,0.8352500454734189,135,14.881070166826248,stop
astra,r2r,1785,1,1.0,0.9333263683298003,0.9333263683298003,55,10.30931705236435,stop
astra,rxr,6529,1,1.0,0.9040082719098772,0.9040082719098772,16,1.249999850988388,stop
astra,r2r,726,1,0.9272995502602684,0.9424890539138069,0.9424890539138069,46,8.720809236168861,stop
astra,rxr,4179,1,0.5873559241797682,0.8547955117100215,0.8547955117100215,47,6.231752693653107,stop
astra,r2r,802,0,0.0,0.7637609728186007,0.0,56,9.760546416044235,stop
astra,rxr,2682,1,0.9169704786910873,0.9406401812727624,0.9406401812727624,150,25.373246118426323,stop
astra,r2r,949,0,0.0,0.7089750810622402,0.0,78,8.199585571885109,stop
astra,rxr,2836,1,0.8191739880532923,0.9268049712972437,0.9268049712972437,48,6.276342540979385,stop
astra,r2r,1618,1,0.7084050584984336,0.6670290621245072,0.6670290621245072,103,13.960914175957441,stop
astra,rxr,10139,1,0.9520334140764711,0.8018258105266972,0.8018258105266972,52,8.895552784204483,stop
astra,r2r,1629,1,1.0,0.9121475001862458,0.9121475001862458,53,6.712885022163391,stop
astra,rxr,9036,1,0.7729985643880556,0.9008986290271084,0.9008986290271084,73,11.027130827307701,stop
astra,r2r,256,1,0.9954818647343516,0.9233558128246722,0.9233558128246722,38,4.989576011896133,stop
astra,rxr,10469,1,0.6486499923087133,0.8063728304906503,0.8063728304906503,175,26.172349199652672,stop
astra,r2r,1231,1,1.0,0.8997022334004938,0.8997022334004938,44,8.274558179080486,stop
astra,rxr,1563,1,0.5769094646797427,0.5877178184648133,0.5877178184648133,284,39.10931230336428,stop
