case_id,group,task,seed,max_env_steps,pi05_only_success,pi05_only_steps,pi05_skill_success,pi05_skill_steps,direct_success,direct_steps
formal/atomic_seen/CoffeeSetupMug/00,atomic_seen,CoffeeSetupMug,4254792632,600,False,600,False,600,False,600
formal/atomic_seen/CoffeeSetupMug/01,atomic_seen,CoffeeSetupMug,399196647,600,True,339,False,600,False,600
formal/atomic_seen/CoffeeSetupMug/02,atomic_seen,CoffeeSetupMug,2327339110,600,True,278,False,600,False,600
formal/atomic_seen/CoffeeSetupMug/03,atomic_seen,CoffeeSetupMug,3254212111,600,True,426,False,600,False,600
formal/atomic_seen/CoffeeSetupMug/04,atomic_seen,CoffeeSetupMug,1700499629,600,False,600,False,600,False,600
formal/atomic_seen/OpenDrawer/00,atomic_seen,OpenDrawer,2795577397,750,True,231,True,229,True,333
formal/atomic_seen/OpenDrawer/01,atomic_seen,OpenDrawer,1217842010,750,False,750,False,750,False,750
formal/atomic_seen/OpenDrawer/02,atomic_seen,OpenDrawer,1646340904,750,True,420,True,249,True,514
formal/atomic_seen/OpenDrawer/03,atomic_seen,OpenDrawer,926665808,750,True,260,True,266,False,750
formal/atomic_seen/OpenDrawer/04,atomic_seen,OpenDrawer,413085957,750,False,750,False,750,False,750
formal/atomic_seen/OpenStandMixerHead/00,atomic_seen,OpenStandMixerHead,3341221172,450,False,450,False,450,False,450
formal/atomic_seen/OpenStandMixerHead/01,atomic_seen,OpenStandMixerHead,3335747271,450,False,450,False,450,False,450
formal/atomic_seen/OpenStandMixerHead/02,atomic_seen,OpenStandMixerHead,2492008729,450,True,141,True,144,False,450
formal/atomic_seen/OpenStandMixerHead/03,atomic_seen,OpenStandMixerHead,3067161721,450,False,450,True,397,False,450
formal/atomic_seen/OpenStandMixerHead/04,atomic_seen,OpenStandMixerHead,2305955014,450,False,450,False,450,False,450
formal/atomic_seen/PickPlaceDrawerToCounter/00,atomic_seen,PickPlaceDrawerToCounter,4143027651,750,False,750,True,565,False,750
formal/atomic_seen/PickPlaceDrawerToCounter/01,atomic_seen,PickPlaceDrawerToCounter,3827280722,750,False,750,False,750,False,750
formal/atomic_seen/PickPlaceDrawerToCounter/02,atomic_seen,PickPlaceDrawerToCounter,3704656338,750,False,750,False,750,False,750
formal/atomic_seen/PickPlaceDrawerToCounter/03,atomic_seen,PickPlaceDrawerToCounter,2125679057,750,True,420,True,420,False,750
formal/atomic_seen/PickPlaceDrawerToCounter/04,atomic_seen,PickPlaceDrawerToCounter,2979709371,750,True,411,True,469,False,750
formal/atomic_seen/PickPlaceSinkToCounter/00,atomic_seen,PickPlaceSinkToCounter,4260344239,900,False,900,True,511,True,749
formal/atomic_seen/PickPlaceSinkToCounter/01,atomic_seen,PickPlaceSinkToCounter,380412839,900,True,262,True,262,True,485
formal/atomic_seen/PickPlaceSinkToCounter/02,atomic_seen,PickPlaceSinkToCounter,546007462,900,True,394,True,323,True,534
formal/atomic_seen/PickPlaceSinkToCounter/03,atomic_seen,PickPlaceSinkToCounter,4148333310,900,True,302,True,303,True,571
