task,group,pi05_only,direct,pi05_skill
CoffeeSetupMug,atomic_seen,3,0,0
OpenDrawer,atomic_seen,3,2,3
OpenStandMixerHead,atomic_seen,1,0,2
PickPlaceDrawerToCounter,atomic_seen,2,0,3
PickPlaceSinkToCounter,atomic_seen,4,5,5
DeliverStraw,composite_seen,0,1,1
KettleBoiling,composite_seen,0,1,3
PackIdenticalLunches,composite_seen,1,1,2
SearingMeat,composite_seen,0,1,1
WashLettuce,composite_seen,2,0,0
BreadSelection,composite_unseen,0,4,2
GatherTableware,composite_unseen,0,0,1
HeatKebabSandwich,composite_unseen,0,2,1
MakeIceLemonade,composite_unseen,0,3,2
RecycleBottlesByType,composite_unseen,1,5,3
